timestamp,itemid,property,value
1430618400000,5001,categoryid,110
1430618400000,5001,available,1
1430618400000,5001,brand,rr_brand_alpha
1430618400000,5002,categoryid,110
1430618400000,5002,color,black
1430618400000,5003,categoryid,120
1430618400000,5003,available,1
1430618400000,5003,brand,rr_brand_beta
1430618400000,5004,categoryid,210
1430618400000,5004,color,blue
1430618400000,5005,categoryid,210
1430618400000,5005,available,0
1430618400000,5006,categoryid,220
1430618400000,5006,brand,rr_brand_gamma
1430618400000,5006,color,white
1430618400000,5007,categoryid,310
1430618400000,5007,available,1
1430618400000,5008,categoryid,310
1430618400000,5008,brand,rr_brand_delta
1430618400000,5008,color,green
