event_id,user_id,product_id,event_type,timestamp
event_001,user_001,product_001,view,2026-02-01T09:00:00Z
event_002,user_001,product_001,click,2026-02-01T09:01:00Z
event_003,user_001,product_002,view,2026-02-01T09:04:00Z
event_004,user_001,product_002,add_to_cart,2026-02-01T09:06:00Z
event_005,user_001,product_011,purchase,2026-02-01T09:12:00Z
event_006,user_002,product_005,view,2026-02-02T10:00:00Z
event_007,user_002,product_005,click,2026-02-02T10:02:00Z
event_008,user_002,product_006,view,2026-02-02T10:05:00Z
event_009,user_002,product_012,add_to_cart,2026-02-02T10:08:00Z
event_010,user_002,product_005,purchase,2026-02-02T10:15:00Z
event_011,user_003,product_003,view,2026-02-03T11:00:00Z
event_012,user_003,product_004,click,2026-02-03T11:03:00Z
event_013,user_003,product_004,add_to_cart,2026-02-03T11:05:00Z
event_014,user_003,product_008,view,2026-02-03T11:09:00Z
event_015,user_003,product_003,purchase,2026-02-03T11:16:00Z
event_016,user_004,product_007,view,2026-02-04T12:00:00Z
event_017,user_004,product_008,click,2026-02-04T12:02:00Z
event_018,user_004,product_008,add_to_cart,2026-02-04T12:04:00Z
event_019,user_004,product_007,purchase,2026-02-04T12:12:00Z
event_020,user_004,product_004,not_interested,2026-02-04T12:15:00Z
event_021,user_005,product_011,view,2026-02-05T13:00:00Z
event_022,user_005,product_012,click,2026-02-05T13:02:00Z
event_023,user_005,product_011,add_to_cart,2026-02-05T13:05:00Z
event_024,user_005,product_011,purchase,2026-02-05T13:10:00Z
event_025,user_005,product_002,not_interested,2026-02-05T13:14:00Z
event_026,user_006,product_009,view,2026-02-06T14:00:00Z
event_027,user_006,product_010,click,2026-02-06T14:03:00Z
event_028,user_006,product_009,add_to_cart,2026-02-06T14:05:00Z
event_029,user_006,product_009,purchase,2026-02-06T14:11:00Z
event_030,user_006,product_006,not_interested,2026-02-06T14:14:00Z
event_031,user_001,product_008,view,2026-02-07T15:00:00Z
event_032,user_002,product_012,click,2026-02-07T15:05:00Z
event_033,user_003,product_003,click,2026-02-07T15:10:00Z
event_034,user_004,product_002,view,2026-02-07T15:15:00Z
